,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0221405029296875,0.02536800627950733,0.003990364074707031,0.0032772029900391348,0.01,newton-cg,"{'C': 0.01, 'solver': 'newton-cg'}",0.7111913357400722,0.7075812274368231,0.7101449275362319,0.7101449275362319,0.717391304347826,0.7112907445194371,0.0032745388203341266,10
1,0.01715407371520996,0.014772098478607007,0.0015955448150634765,0.0004888503383011753,0.01,lbfgs,"{'C': 0.01, 'solver': 'lbfgs'}",0.7111913357400722,0.7075812274368231,0.7101449275362319,0.7101449275362319,0.717391304347826,0.7112907445194371,0.0032745388203341266,10
2,0.010770082473754883,0.009595707678917223,0.0015967369079589843,0.0004884615766316812,0.01,saga,"{'C': 0.01, 'solver': 'saga'}",0.7111913357400722,0.7075812274368231,0.7101449275362319,0.7101449275362319,0.717391304347826,0.7112907445194371,0.0032745388203341266,10
3,0.010172176361083984,0.0014652595063503024,0.002393960952758789,0.0010167003650047547,0.1,newton-cg,"{'C': 0.1, 'solver': 'newton-cg'}",0.855595667870036,0.8194945848375451,0.9021739130434783,0.8695652173913043,0.8297101449275363,0.8553079056139801,0.029453745757746657,7
4,0.007779741287231445,0.0014654476471919272,0.0015950679779052734,0.0007979525193087989,0.1,lbfgs,"{'C': 0.1, 'solver': 'lbfgs'}",0.855595667870036,0.8194945848375451,0.9021739130434783,0.8695652173913043,0.8297101449275363,0.8553079056139801,0.029453745757746657,7
5,0.006182241439819336,0.000978007070048823,0.0011979103088378905,0.0004012114933099244,0.1,saga,"{'C': 0.1, 'solver': 'saga'}",0.855595667870036,0.8194945848375451,0.9021739130434783,0.8695652173913043,0.8297101449275363,0.8553079056139801,0.029453745757746657,7
6,0.00877690315246582,0.0007457798551433691,0.001595449447631836,0.001016728178585029,1,newton-cg,"{'C': 1, 'solver': 'newton-cg'}",0.8808664259927798,0.8231046931407943,0.9166666666666666,0.8804347826086957,0.8297101449275363,0.8661565426672946,0.035080829766590854,1
7,0.0057850837707519535,0.0011622720775599838,0.0011962890625,0.00039916575385718863,1,lbfgs,"{'C': 1, 'solver': 'lbfgs'}",0.8808664259927798,0.8231046931407943,0.9166666666666666,0.8804347826086957,0.8297101449275363,0.8661565426672946,0.035080829766590854,1
8,0.004585742950439453,0.0004875542539008475,0.000997638702392578,8.34124359347148e-07,1,saga,"{'C': 1, 'solver': 'saga'}",0.8808664259927798,0.8231046931407943,0.9166666666666666,0.8804347826086957,0.8297101449275363,0.8661565426672946,0.035080829766590854,1
9,0.009775304794311523,0.0007468437326456005,0.0009957313537597655,3.204402468950547e-06,10,newton-cg,"{'C': 10, 'solver': 'newton-cg'}",0.8844765342960289,0.8194945848375451,0.9166666666666666,0.8768115942028986,0.8333333333333334,0.8661565426672946,0.03536983523405663,1
10,0.006383705139160156,0.0013543223740059604,0.0013958930969238282,0.0004899238407638111,10,lbfgs,"{'C': 10, 'solver': 'lbfgs'}",0.8844765342960289,0.8194945848375451,0.9166666666666666,0.8768115942028986,0.8333333333333334,0.8661565426672946,0.03536983523405663,1
11,0.006584453582763672,0.0004880810537684607,0.0007955551147460938,0.00039779078992711815,10,saga,"{'C': 10, 'solver': 'saga'}",0.8844765342960289,0.8194945848375451,0.9166666666666666,0.8768115942028986,0.8333333333333334,0.8661565426672946,0.03536983523405663,1
